pid,workerid,status,beginexp,condition,pid,bonus
75,A3HM71PMVHZTDS,3,2021-08-03 17:46:36.545107,2,75,2.74
76,A9UX51R52NBFL,3,2021-08-03 17:46:35.099737,1,76,2.73
77,A362TH4L5H1DGV,3,2021-08-03 17:45:09.085347,0,77,2.84
78,A2LFM3P6OGUNNR,3,2021-08-03 17:44:34.408043,2,78,2.93
79,A35GM8O68RV7AV,3,2021-08-03 17:43:53.706735,2,79,3.51
80,A31RMTO6TN90G0,3,2021-08-03 17:52:07.866368,1,80,3.14
81,A3E1XMWURQQ64D,3,2021-08-03 17:42:41.132478,0,81,2.28
82,AAH1RWHV4GICU,3,2021-08-03 17:42:22.806364,1,82,2.75
83,AGQXPT0EJT6V2,3,2021-08-03 17:39:15.832952,0,83,3.02
84,A1TPHN8CNLWT3C,3,2021-08-03 17:38:57.4939,2,84,1.05
85,A1JCKAOZCEYUFT,3,2021-08-03 17:39:29.615401,1,85,2.58
86,A2NDZVS3UO375Z,3,2021-08-03 17:36:02.487813,0,86,2.68
87,ACMPO9S15X32Z,3,2021-08-03 17:38:15.343542,2,87,2.68
88,A309CD0ZJH2X11,3,2021-08-03 17:36:27.370142,1,88,3.01
89,A161WSYYO22QZV,3,2021-08-03 17:35:08.193071,1,89,2.65
90,AV1ALWU7HQZSW,3,2021-08-03 17:36:47.508794,0,90,0.47
91,A3NM4Y7V4UEMM3,3,2021-08-03 17:29:34.588267,2,91,2.75
92,A37BYWJZ7IUKNL,3,2021-08-03 17:28:53.929628,0,92,1.21
93,A1IV4GOY13UQYO,3,2021-08-03 17:28:41.525145,0,93,2.62
94,A30S3NM2G8YALB,3,2021-08-03 17:39:32.124554,2,94,0.58
95,A1UB6TWHZMFU5L,3,2021-08-03 17:27:01.91396,2,95,3.13
96,A1ZKIH8L6648NG,3,2021-08-03 17:25:40.055552,1,96,2.95
97,A1HVA8FLZ2F6O6,3,2021-08-03 17:24:20.778277,0,97,2.68
98,A32MB5VFCNNCV5,3,2021-08-03 17:26:37.783993,2,98,0.34
99,A1ZAK79QAHNW2J,3,2021-08-03 17:22:01.49428,1,99,2.02
100,A32ACOU6RGHZTO,3,2021-08-03 17:19:30.933806,2,100,2.9
101,A2BDBRXYJSWVXQ,3,2021-08-03 17:18:09.603179,0,101,2.19
102,A1L93M6AKJX3CA,3,2021-08-03 17:17:59.485615,0,102,2.37
103,A2OFIQIRW9LGV2,3,2021-08-03 17:23:06.415185,0,103,2.81
104,A1272OUUSAZTD2,3,2021-08-03 17:16:20.986533,1,104,2.74
105,AG70A1IBXC221,3,2021-08-03 17:18:17.733145,2,105,2.99
106,A3BWSKIB9Z0TB1,3,2021-08-03 17:15:49.733478,1,106,3.27
107,A2C4PNEBNTQ5M3,3,2021-08-03 17:15:41.134947,0,107,2.47
108,A9VFXAKE8HNN0,3,2021-08-03 17:13:46.354756,0,108,2.94
109,AI0GXA45H2KEK,3,2021-08-03 17:11:35.779112,2,109,0.55
110,A2FOXGDA9DYUY4,3,2021-08-03 17:08:32.106421,0,110,1.45
111,AB954DKYDESCV,3,2021-08-03 17:02:16.753642,0,111,0.0
112,A1T3J8ZVFM34XF,3,2021-08-03 17:02:34.900321,1,112,1.35
113,A1F2VC296IS5YZ,3,2021-08-03 17:00:49.983517,0,113,2.8
114,A15ZA8L1162G2T,3,2021-08-03 16:57:29.542048,0,114,1.17
115,A255TQAF514QL6,3,2021-08-03 16:57:22.816767,2,115,3.08
116,A266U96PZ68VOJ,3,2021-08-03 16:56:02.807694,1,116,2.29
117,A1AUT20SM6AI4Y,3,2021-08-03 16:55:19.056654,1,117,2.55
118,AGW0WDJW3SO49,3,2021-08-03 16:54:10.360521,0,118,0.9
119,A3PNJO5PQF54I5,3,2021-08-03 16:50:21.021666,2,119,0.22
120,A1HFY6ERC1QNV5,3,2021-08-03 16:49:47.1564,0,120,3.0
121,A2PAQJ1JLCPW80,3,2021-08-03 16:47:52.128248,1,121,1.98
122,A1F5D3EOKNRVWT,3,2021-08-03 16:45:04.424034,2,122,2.49
123,ASCBDA9UZWQA6,3,2021-08-03 16:44:42.080092,0,123,0.78
124,A3HNQTL25QDA9P,3,2021-08-03 16:47:46.417837,2,124,1.92
125,A27RZU4QAY4F60,3,2021-08-03 16:48:19.068584,1,125,2.17
126,A1M2KOUMT605QW,3,2021-08-03 16:47:44.885575,1,126,2.69
127,A1YZW7RP20U8HN,3,2021-08-03 16:42:52.385194,0,127,0.38
128,A1KZ0KE93WNN5O,3,2021-08-03 16:42:40.72335,2,128,0.99
129,A13JYT949B0CRL,3,2021-08-03 16:42:20.232254,0,129,2.78
