pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type
52,5,"[7021, 7849, 8855]","['up', 'up', 'left']",training,"['0', '1', '2', '4']","{'click': {'state': {'target': ['9', '5', '1', '4'], 'time': [2745, 3379, 3910, 5145]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7', '10', '9', '0', '5', '1', '11', '11', '4'], 'time': [1270, 2171, 2537, 2938, 3121, 3655, 4406, 4806, 4923]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['7', '10', '9', '0', '5', '1', '11', '11', '4', '1', '1', '0'], 'time': [1286, 2387, 2921, 2954, 3588, 4222, 4422, 4840, 5390, 6491, 10345, 10395]}, 'edge': {'target': [], 'time': []}}}","[50, 50, 100]","[255.29999999701977, 253.80000000447035, 7020.79999999702]",0,[],196,"[None, None, None]","['', 50, 50, 100, 100, -50, 100, 50, -50, -20, -20, -20, -50]",196666,[],mouselab-mdp
52,6,"[7061, 7847, 8774]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5', '9', '1', '12', '8'], 'time': [1766, 2327, 2817, 3950, 4817]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '0', '9', '1', '0', '0', '12', '8'], 'time': [1510, 1960, 2194, 2644, 3212, 3278, 3762, 4646]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '0', '9', '1', '0', '0', '12', '8'], 'time': [1927, 2044, 2528, 3128, 3228, 3312, 4146, 5080]}, 'edge': {'target': [], 'time': []}}}","[100, -50, 50]","[339.69999999552965, 510.6000000014901, 7059.79999999702]",0,[],95,"[None, None, None]","['', -20, 100, 50, -50, 100, -50, -50, 50, 100, -20, 100, -1000]",209038,[],mouselab-mdp
52,7,"[8497, 9269, 9940]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5', '9', '1', '8', '6'], 'time': [1918, 2696, 3249, 5857, 6820]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '5', '9', '1', '6', '8', '6'], 'time': [None, 1703, 2470, 3004, 4825, 5691, 6458]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '5', '9', '1', '6', '8', '6', '6'], 'time': [1320, 2320, 2954, 3605, 5642, 6225, 7126, 7928]}, 'edge': {'target': [], 'time': []}}}","[50, -20, 50]","[296.19999999552965, 439.5, 8495.5]",0,[],75,"[None, None, None]","['', -50, 50, 50, -50, 50, -20, 50, 50, 50, 50, -50, -50]",220775,[],mouselab-mdp
52,8,"[11798, 12513, 13334]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['5', '1', '9', '8', '4', '2', '10', '12', '11'], 'time': [1027, 1570, 2276, 3712, 5164, 6369, 7723, 8873, 9931]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['6', '5', '1', '9', '0', '6', '8', '6', '2', '4', '4', '11', '2', '10', '12', '11', '6'], 'time': [496, 545, 1246, 2080, 3065, 3282, 3515, 4216, 4733, 4783, 5000, 5720, 6201, 7386, 8554, 9806, 10656]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['6', '5', '1', '9', '0', '5', '6', '8', '6', '2', '4', '4', '11', '2', '1', '10', '9', '12', '11', '9', '8', '6'], 'time': [529, 1213, 1763, 2614, 3131, 3265, 3298, 3999, 4249, 4766, 4800, 5484, 5768, 6585, 7152, 7904, 7970, 9071, 10121, 10272, 10373, 10907]}, 'edge': {'target': [], 'time': []}}}","[-50, 50, 100]","[273.8999999985099, 177.5, 11797.30000000447]",0,[],91,"[None, None, None]","['', -50, -1000, 100, 100, -50, 50, 100, -50, -50, 50, -20, -50]",231060,[],mouselab-mdp
52,9,"[9357, 10152, 11015]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['5', '1', '9', '4', '8', '12', '10'], 'time': [1418, 1989, 2628, 3288, 4624, 5820, 7473]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['6', '5', '1', '9', '4', '0', '8', '12', '10', '6'], 'time': [663, 1197, 1830, 2386, 3082, 3632, 4418, 5651, 7204, 8404]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['6', '5', '1', '9', '4', '0', '8', '12', '12', '10', '10', '9', '6'], 'time': [679, 1580, 2214, 2948, 3482, 3799, 5034, 6353, 7120, 7754, 8103, 8187, 8470]}, 'edge': {'target': [], 'time': []}}}","[50, 50, -50]","[221.90000000596046, 325.29999999701977, 9355.70000000298]",0,[],43,"[None, None, None]","['', 50, -1000, 100, -1000, 50, 50, -50, -50, -50, -1000, 50, 100]",243058,[],mouselab-mdp
52,10,"[8893, 9564, 10249]","['up', 'up', 'left']",training,"['0', '1', '2', '4']","{'click': {'state': {'target': ['5', '1', '9', '8', '7', '4', '2'], 'time': [2300, 2727, 3536, 5040, 5910, 6737, 7713]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['6', '1', '5', '1', '9', '11', '0', '8', '6', '7', '4', '2'], 'time': [1222, 1355, 2168, 2523, 3356, 3958, 4392, 4742, 5610, 5760, 6594, 7547]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['6', '1', '5', '1', '9', '11', '0', '8', '6', '7', '1', '4', '2', '1', '5'], 'time': [1255, 1489, 2474, 2940, 3941, 3975, 4409, 5543, 5711, 6127, 6260, 7011, 7912, 8096, 8164]}, 'edge': {'target': [], 'time': []}}}","[50, -20, 100]","[296.3999999985099, 374.70000000298023, 8891.89999999851]",0,[],123,"[None, None, None]","['', 50, -20, -50, 100, 50, 50, -50, -50, -50, 50, 50, 100]",258274,[],mouselab-mdp
52,11,"[6584, 7243, 7999]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5', '1', '9', '8', '6'], 'time': [2362, 3194, 3827, 4508, 5504]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '1', '0', '9', '0', '8', '6'], 'time': [2026, 2843, 3461, 3761, 4061, 4362, 5379]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '1', '0', '9', '0', '8', '8', '6', '8'], 'time': [2526, 3427, 3477, 4011, 4078, 4728, 5129, 5696, 5880]}, 'edge': {'target': [], 'time': []}}}","[50, 50, 50]","[180.10000000149012, 183.40000000596046, 6582.30000000447]",0,[],145,"[None, None, None]","['', -50, 50, -20, -20, 50, 50, -50, 50, 50, -50, -50, -50]",270925,[],mouselab-mdp
52,12,"[8772, 9425, 10134]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['8', '12', '4', '5', '9', '6'], 'time': [3135, 4079, 4803, 5916, 6519, 7629]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['6', '5', '8', '12', '10', '4', '1', '0', '0', '5', '0', '9', '6'], 'time': [1866, 1932, 2767, 3918, 4368, 4635, 5270, 5386, 5453, 5570, 6153, 6205, 7389]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['6', '5', '8', '12', '10', '4', '1', '0', '0', '5', '0', '9', '12', '12', '6'], 'time': [1882, 2466, 3334, 4335, 4401, 5069, 5285, 5402, 5486, 6120, 6170, 6755, 6904, 7221, 7815]}, 'edge': {'target': [], 'time': []}}}","[-20, 100, 100]","[160.09999999403954, 265.20000000298023, 8770.89999999851]",0,[],174,"[None, None, None]","['', 100, -20, 50, -50, -20, 100, 50, 100, 50, 100, -20, -50]",282569,[],mouselab-mdp
52,13,"[11743, 12468, 13237]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['8', '12', '4', '5', '9', '6', '7', '10', '11'], 'time': [1981, 2879, 3928, 5528, 6068, 6797, 8408, 9952, 10397]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '12', '9', '4', '4', '2', '1', '5', '5', '0', '9', '6', '6', '7', '10', '11'], 'time': [1568, 2702, 3271, 3504, 3787, 4204, 4354, 4989, 5373, 5723, 5890, 6424, 6690, 8308, 9776, 10276]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '12', '9', '4', '4', '2', '1', '5', '5', '0', '9', '6', '6', '6', '7', '9', '10', '11', '10'], 'time': [2335, 3188, 3304, 3620, 4171, 4221, 4471, 5038, 5706, 5755, 6307, 6440, 7173, 8074, 8592, 9594, 10244, 10677, 10727]}, 'edge': {'target': [], 'time': []}}}","[50, -20, 100]","[150.89999999850988, 209.60000000149012, 11741.69999999553]",0,[],121,"[None, None, None]","['', 50, 50, -50, 100, 50, -50, 50, -1000, 50, -20, 100, 100]",291742,[],mouselab-mdp
52,14,"[7736, 8391, 9096]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['9', '1', '5', '8', '7', '6'], 'time': [1836, 2347, 3041, 3975, 4764, 5243]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '1', '5', '8', '8', '6', '7', '6', '10'], 'time': [1671, 2037, 2673, 3322, 3823, 4289, 4604, 5024, 6293]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1', '5', '8', '8', '6', '7', '6', '10', '8'], 'time': [1973, 2538, 3289, 3372, 4239, 4373, 4958, 5424, 6775, 6992]}, 'edge': {'target': [], 'time': []}}}","[50, -20, 50]","[238.40000000596046, 273.20000000298023, 7734.79999999702]",0,[],74,"[None, None, None]","['', -1000, -20, -50, -50, 50, -20, -20, 50, -1000, -50, -1000, -20]",303204,[],mouselab-mdp
