pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type,reward_withheld
60fd5adad03767cff6dddda8,11,"[7155, 8015, 8850]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['4', '3', '12'], 'time': [2861, 3789, 4705]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '3', '12'], 'time': [2506, 3608, 4504]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '4', '3', '12'], 'time': [1578, 1634, 3281, 4225, 5100]}, 'edge': {'target': [], 'time': []}}}","[4, -8, 48]","[5047, 272, 340]",0,0,46,"[None, None, None]","['', 4, 4, -24, -48, -4, 4, -48, 24, 4, -8, -48, 48]",1175595,11443,mouselab-mdp,False
60fd5adad03767cff6dddda8,12,"[3997, 4772, 5455]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['4', '12'], 'time': [1990, 2824]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '12'], 'time': [1672, 2433]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '12'], 'time': [1622, 2413, 3130]}, 'edge': {'target': [], 'time': []}}}","[2, -4, 48]","[2739, 248, 141]",0,0,49,"[None, None, None]","['', -4, 4, -48, -48, -4, 8, -24, 24, 2, -4, 48, 48]",1185898,10047,mouselab-mdp,False
60fd5adad03767cff6dddda8,13,"[14649, 15457, 16219]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['12', '8', '4', '3', '1', '9'], 'time': [2933, 3944, 4766, 5605, 9190, 11376]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '4', '9', '12', '8', '1', '4', '2', '3', '0', '1', '9', '9', '10'], 'time': [1864, 2239, 2356, 2683, 3528, 4324, 4362, 5075, 5141, 7830, 8451, 9640, 10852, 13251]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '4', '9', '12', '8', '1', '4', '2', '3', '0', '1', '9', '9', '9'], 'time': [1885, 2345, 2376, 3411, 4289, 4350, 5064, 5105, 7183, 7915, 9578, 10478, 12178, 13119]}, 'edge': {'target': [], 'time': []}}}","[-2, 8, 24]","[13403, 270, 195]",0,0,29,"[None, None, None]","['', -4, 8, 24, -24, 4, -8, -24, -24, -2, 8, -48, 24]",1203362,17238,mouselab-mdp,False
60fd5adad03767cff6dddda8,14,"[4705, 5314, 5988]","['up', 'up', 'right']",test,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '3'], 'time': [2717, 3552]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3'], 'time': [2500, 3086, 3173]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['10', '9', '4', '2', '3', '0'], 'time': [822, 858, 3067, 3135, 3898, 6919]}, 'edge': {'target': [], 'time': []}}}","[2, 8, 48]","[3113, 100, 140]",0,0,61,"[None, None, None]","['', 2, 8, 48, -48, -2, -4, -24, 24, 4, -4, 48, -48]",1213990,10424,mouselab-mdp,False
60fd5adad03767cff6dddda8,15,"[9227, 10004, 10824]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['4', '3', '12', '8', '1', '10'], 'time': [2268, 3248, 4148, 5010, 7005, 8028]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '3', '12', '8', '9', '1', '9', '10'], 'time': [1968, 2849, 3936, 4726, 6539, 6815, 7553, 7774]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '3', '12', '8', '9', '1', '9', '10'], 'time': [1871, 2756, 3570, 4437, 5603, 6588, 7497, 7737, 8548]}, 'edge': {'target': [], 'time': []}}}","[-4, 4, 24]","[7879, 262, 275]",0,0,23,"[None, None, None]","['', -4, -4, -24, 24, 4, 4, -24, -24, -4, 4, 24, 24]",1226061,11973,mouselab-mdp,False
60fd5adad03767cff6dddda8,16,"[7869, 8546, 9342]","['up', 'up', 'left']",test,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4'], 'time': [6547]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3', '5'], 'time': [6219, 6915, 7126, 7167]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3', '5'], 'time': [794, 6885, 6932, 7153, 10470]}, 'edge': {'target': [], 'time': []}}}","[-2, -4, 48]","[6729, 176, 272]",0,0,46,"[None, None, None]","['', -2, -4, -48, 48, -2, -4, 24, 48, -4, -8, -24, 24]",1237601,11428,mouselab-mdp,False
60fd5adad03767cff6dddda8,17,"[8174, 8917, 10067]","['left', 'left', 'up']",test,"['0', '0', '9', '10', '11']","{'click': {'state': {'target': ['4', '3', '12', '8', '7', '11'], 'time': [2057, 2713, 3517, 5654, 6421, 7198]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '3', '1', '9', '12', '8', '6', '7', '11', '10'], 'time': [1790, 2375, 3040, 3074, 3164, 5467, 5998, 6143, 6761, 7626]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '3', '1', '9', '12', '8', '6', '7', '11', '10'], 'time': [1497, 2335, 3028, 3057, 3091, 3779, 5992, 6010, 6693, 7620, 7657]}, 'edge': {'target': [], 'time': []}}}","[-4, 4, 48]","[7108, 251, 646]",0,0,47,"[None, None, None]","['', 4, 8, -48, 24, -2, 8, -48, -48, -4, 4, 48, -48]",1250263,12561,mouselab-mdp,False
60fd5adad03767cff6dddda8,18,"[6716, 7404, 8194]","['up', 'up', 'left']",test,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4'], 'time': [5508]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '4', '2', '0'], 'time': [4941, 5227, 5890, 6164]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1', '4', '2', '0'], 'time': [571, 4958, 5858, 6024, 6201]}, 'edge': {'target': [], 'time': []}}}","[-4, -8, 48]","[5145, 115, 291]",0,0,40,"[None, None, None]","['', -4, -8, -48, 48, -2, -8, -48, -24, 4, 8, 24, -48]",1261717,11303,mouselab-mdp,False
60fd5adad03767cff6dddda8,19,"[5920, 6541, 7321]","['up', 'up', 'right']",test,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '3'], 'time': [4022, 4827]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3'], 'time': [3550, 4397, 4575]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3'], 'time': [3140, 4350, 4422, 5286]}, 'edge': {'target': [], 'time': []}}}","[4, 4, 48]","[4427, 130, 219]",0,0,59,"[None, None, None]","['', 4, 4, 48, -48, -2, -8, -48, -24, 2, 4, -24, -48]",1272245,10337,mouselab-mdp,False
60fd5adad03767cff6dddda8,20,"[7197, 7831, 8466]","['up', 'up', 'left']",test,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4'], 'time': [6110]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2'], 'time': [3052, 6510]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '4', '2'], 'time': [768, 6498, 6538]}, 'edge': {'target': [], 'time': []}}}","[2, -8, 48]","[4991, 137, 86]",0,0,46,"[None, None, None]","['', 2, -8, -24, 48, -4, -8, 24, -48, 4, -8, -24, -24]",1284119,11637,mouselab-mdp,False
