A38OPVI04AH4JG:3BF51CHDTWHRP70E89P62M3Q0SZH0N,final_bonus,1.23
A38OPVI04AH4JG:3BF51CHDTWHRP70E89P62M3Q0SZH0N,with_reward,True
A187TVQ98O0FN2:3WQQ9FUS6B1ZGJ2V3LSP9Q6AOM78B4,condition,0
A187TVQ98O0FN2:3WQQ9FUS6B1ZGJ2V3LSP9Q6AOM78B4,params,"{u'startTime': u'Tue Apr 30 2019 16:09:53 GMT-0400 (Eastern Daylight Time)', u'condition': 0, u'inspectCost': 1, u'branching': u'312', u'with_info': True, u'with_reward': False, u'bonusRate': 0.002, u'with_feedback': True}"
A187TVQ98O0FN2:3WQQ9FUS6B1ZGJ2V3LSP9Q6AOM78B4,with_info,True
A187TVQ98O0FN2:3WQQ9FUS6B1ZGJ2V3LSP9Q6AOM78B4,final_bonus,1.08
A187TVQ98O0FN2:3WQQ9FUS6B1ZGJ2V3LSP9Q6AOM78B4,with_reward,False
A58RZ9YFZ1T6M:3L4D84MIL0ZYRD10UHZCKRIMZA2JHB,condition,1
A58RZ9YFZ1T6M:3L4D84MIL0ZYRD10UHZCKRIMZA2JHB,with_info,False
A58RZ9YFZ1T6M:3L4D84MIL0ZYRD10UHZCKRIMZA2JHB,params,"{u'startTime': u'Tue Apr 30 2019 15:08:40 GMT-0500 (Central Daylight Time)', u'condition': 1, u'inspectCost': 1, u'branching': u'312', u'with_info': False, u'with_reward': False, u'bonusRate': 0.002, u'with_feedback': False}"
A58RZ9YFZ1T6M:3L4D84MIL0ZYRD10UHZCKRIMZA2JHB,final_bonus,1.17
A58RZ9YFZ1T6M:3L4D84MIL0ZYRD10UHZCKRIMZA2JHB,with_reward,False
A9A0R9F8R534A:3JNQLM5FT5T07DMIEH8ID2PCEHN2LE,condition,1
A9A0R9F8R534A:3JNQLM5FT5T07DMIEH8ID2PCEHN2LE,params,"{u'startTime': u'Tue Apr 30 2019 18:38:00 GMT-0400 (Eastern Daylight Time)', u'condition': 1, u'inspectCost': 1, u'branching': u'312', u'with_info': False, u'with_reward': False, u'bonusRate': 0.002, u'with_feedback': False}"
A9A0R9F8R534A:3JNQLM5FT5T07DMIEH8ID2PCEHN2LE,with_info,False
A9A0R9F8R534A:3JNQLM5FT5T07DMIEH8ID2PCEHN2LE,final_bonus,1.31
A9A0R9F8R534A:3JNQLM5FT5T07DMIEH8ID2PCEHN2LE,with_reward,False
A31YMSNCOHKFL6:3JV9LGBJWULYSSXMQO9Z7NN7J4XGOQ,condition,3
A31YMSNCOHKFL6:3JV9LGBJWULYSSXMQO9Z7NN7J4XGOQ,params,"{u'startTime': u'Tue Apr 30 2019 15:49:20 GMT-0400 (Eastern Daylight Time)', u'condition': 3, u'inspectCost': 1, u'branching': u'312', u'with_info': False, u'with_reward': True, u'bonusRate': 0.002, u'with_feedback': True}"
A31YMSNCOHKFL6:3JV9LGBJWULYSSXMQO9Z7NN7J4XGOQ,with_info,False
A31YMSNCOHKFL6:3JV9LGBJWULYSSXMQO9Z7NN7J4XGOQ,final_bonus,1.36
