index,old_index,model,decision_rule,use_pseudo_rewards,pr_weight,actor,term,selector,learner,strategy_space_type,stochastic_updating,subjective_cost,vicarious_learning,termination_value_known,montecarlo_updates,is_null,is_gaussian,bandit_prior,prior,habitual_features,learn_from_path
471,1807,lvoc,,FALSE,FALSE,,TRUE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,habitual,TRUE
477,1819,lvoc,,FALSE,FALSE,,TRUE,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,,,strategy_weight,habitual,TRUE
479,1823,lvoc,,FALSE,FALSE,,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,habitual,TRUE
1254,4955,lvoc,,TRUE,TRUE,,TRUE,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1256,4959,lvoc,,TRUE,TRUE,,TRUE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1262,4971,lvoc,,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1264,4975,lvoc,,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1270,4987,lvoc,,TRUE,FALSE,,TRUE,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1272,4991,lvoc,,TRUE,FALSE,,TRUE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1278,5003,lvoc,,TRUE,FALSE,,TRUE,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1280,5007,lvoc,,TRUE,FALSE,,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1286,5019,lvoc,,FALSE,FALSE,,TRUE,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1288,5023,lvoc,,FALSE,FALSE,,TRUE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1294,5035,lvoc,,FALSE,FALSE,,TRUE,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
1296,5039,lvoc,,FALSE,FALSE,,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,strategy_weight,non_habitual,TRUE
524,2058,rssl,,FALSE,FALSE,,,,,participant,TRUE,,,,,FALSE,TRUE,,gaussian_prior,habitual,
525,2059,rssl,,FALSE,FALSE,,,,,participant,TRUE,,,,,FALSE,FALSE,,bernoulli_prior,habitual,
526,2061,rssl,,FALSE,FALSE,,,,,participant,FALSE,,,,,TRUE,FALSE,,bernoulli_prior,habitual,
527,2062,rssl,,FALSE,FALSE,,,,,participant,FALSE,,,,,FALSE,TRUE,,gaussian_prior,habitual,
528,2063,rssl,,FALSE,FALSE,,,,,participant,FALSE,,,,,FALSE,FALSE,,bernoulli_prior,habitual,
1341,5274,rssl,,FALSE,FALSE,,,,,participant,TRUE,,,,,FALSE,TRUE,,gaussian_prior,non_habitual,
1342,5275,rssl,,FALSE,FALSE,,,,,participant,TRUE,,,,,FALSE,FALSE,,bernoulli_prior,non_habitual,
